Portuguese,English
parte,part
história,history
procurar,search
apenas,only
polícia,police
pensava,thought
ajuda,help
pedido,request
tipo,kind
mês,month
irmão,brother
deixar,let
porque,because
colocar,to put
nenhum,no
coleira,leash
eles,them
cidade,city
cada,each
falar,speak
venha,come
deveria,should
bebê,baby
muito tempo,long time
horas,hours
vai,will
enquanto,while
rever,meet again
nenhuma,any
lugar,square
fala,speak
entendido,understood
sabia,knew
eram,were
atenção,Warning
aqui está,here is
poderia,could
caso,case
dar,give
tipo,type
suas,their
dado,given
trem,train
corpo,body
lugar,place
olhos,eyes
maneira,way
escute,listen
cujo,whose
encontre,find
primeiro,first
perdido,lost
mão,hand
primeira,first
lado,side
poder,power
velho,old
seja,be
aqui,here
manhã,morning
tão much,so much
criança,child
ponto,point
veio,came
após,after
desculpe,sorry
venha,come
na frente de,in front of
para,towards
minutos,minutes
pedido,request
quarto,bedroom
colocado,placed
bonita,beautiful
lei,law
gostaria,would like to
hoje,today
marido,husband
causa,cause
finalmente,finally
espero,hope
água,water
espere,Wait
partiu,left
nova,new
trabalho,job
parar,Stop
diria,would say
terra,Earth
conta,account
dado,given
longe,far
fim,end
acreditar,believe
querida,sweetheart
grande,large
preferiria,rather
terá,will have
meninas,girls
jogar,to play
escritório,office
